early_blue,,early_green,,early_orange,,early_red,,late_blue,,late_green,,late_red,,late_orange,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-0.0007469258106107550,0.017634440360417600,0,0.0685978605248394,0,0.018106976934376500,0,0.018106976934376500,15.11463345598640,0.11986047004622700,15.11463345598640,0.17035135363669000,15.11463345598640,0.018878702865301000,15.11463345598640,0.11986047004622700
0.2498663395917870,0.16541790507374500,0.2547410133031420,1.3830757803899900,0.2547410133031420,0.2722763413998170,0.2547410133031420,1.4840575475709300,15.36088310217950,0.4749544368088150,15.36088310217950,1.3332994578466800,15.36088310217950,2.444098896836860,15.352391735069300,0.8788243406487480
0.4955656193980570,0.430045333605392,0.5009906594961790,4.767622762580350,0.49249929238607400,0.7282949104595530,0.49249929238607400,3.404311740754090,15.624115482592700,1.0826171512912700,15.61562411548260,3.657595049521090,15.61562411548260,4.667412721330350,15.624115482592700,1.8904712887386700
0.7461788848004540,1.5128451611050800,0.7472403056892160,8.101678861180250,0.7472403056892160,1.5378639944200800,0.7472403056892160,4.870262311390630,15.870365128785700,1.185256700101530,15.861873761675600,5.173979338864330,15.870365128785700,5.931399757605040,15.870365128785700,2.901946742177270
1.0066201213951000,2.5080533676534400,1.0019813189923600,10.324992685673700,1.0019813189923600,2.448414845561540,1.0019813189923600,6.740139950750870,16.108123407868700,1.4898026183898900,16.108123407868700,7.09429069693126,16.108123407868700,7.043799813340800,16.108123407868700,3.4589470784179400
1.2523194012013700,2.9479963642075300,1.2482309651853900,12.497758461693000,1.2482309651853900,3.3084176482287500,1.2482309651853900,8.559469541636890,16.37135578828190,1.7440291477391100,16.362864421171800,7.903859780891790,16.362864421171800,7.903859780891790,16.362864421171800,4.066552628016620
1.4931046954115200,3.4463448019058200,1.4944806113784300,14.064633634626700,1.4944806113784300,4.218911334486440,1.4944806113784300,9.772908529437350,16.61760543447500,2.099123114501690,16.61760543447500,8.763919748442780,16.61760543447500,8.662937981261860,16.609114067364800,4.674101012731520
1.7535459320061700,3.9448255657239400,1.7577129917916800,15.732604904508800,1.7492216246815700,5.028480418446960,1.7492216246815700,10.632968496988300,16.863855080668000,2.3532353140833500,16.863855080668000,9.724904318290920,16.85536371355790,9.47239273545484,16.863855080668000,5.079743027968340
1.9992452118124400,4.79383822099706,1.995471270874610,16.54205965870180,2.0039626379847200,6.494430989083500,1.995471270874610,11.896898368379300,17.118596093971100,2.4559320277774000,17.118596093971100,10.282018984299100,17.11010472686100,10.332452703005800,17.11010472686100,5.687291412683250
2.244944491618710,5.438316046910670,2.250212284177750,17.452610509843300,2.2417209170676500,6.899958674552790,2.2417209170676500,13.160828239770200,17.373337107274300,2.6091196250619100,17.373337107274300,10.687660999536000,17.364845740164200,11.293494437737700,17.373337107274300,5.891027058441990
2.5004717426172300,6.170517819895420,2.4964619303707900,18.41359507969140,2.4964619303707900,7.558055107741920,2.4964619303707900,14.071379090911600,17.6110953863572,2.661211125397950,17.619586753467300,11.396191151431800,17.619586753467300,11.49717291861270,17.6110953863572,6.24606386032081
2.7461710224235,6.902653429820250,2.751202943673930,19.273655047242400,2.742711576563830,8.317076143228210,2.751202943673930,15.082911709234000,17.865836399660300,2.915380489863390,17.865836399660300,11.953248652556200,17.865836399660300,11.801776001784800,17.865836399660300,6.500233224786240
2.9967842878259000,7.196533201218940,2.9889612227568600,20.133600685025900,2.9974525898669700,8.773209042055510,2.9974525898669700,16.296350697034500,18.12057741296350,3.018077203557430,18.12057741296350,12.61134508574540,18.12057741296350,12.156927133431200,18.12057741296350,7.0068570072040000
3.247397553228290,7.607290017965920,3.2437022360600000,20.89267888539590,3.2437022360600000,9.330266543179940,3.2437022360600000,17.257335266882600,18.358335692046400,3.0196778203030200,18.36682705915650,12.966439052508000,18.358335692046400,12.713927469671900,18.36682705915650,7.765878042690290
3.4980108186306900,7.638196437330950,3.498443249363150,21.44979355140410,3.498443249363150,9.685417674826300,3.5069346164732500,18.167943282907800,18.604585338239500,3.021335601932360,18.604585338239500,13.72540292311050,18.604585338239500,13.069021436434500,18.61307670534960,7.868517591500560
3.748624084033090,7.6983221180330500,3.7446928955561800,22.158323703300000,3.7531842626662900,9.9900779228822,3.7446928955561800,19.1288706878722,18.867817718652700,3.073598596919720,18.867817718652700,14.030120336050100,18.876309085762800,13.373796014257900,18.859326351542600,8.072138907491760
3.9894093782432300,8.225889817068410,3.990942541749220,22.71538120442440,3.990942541749220,10.193642073989600,3.990942541749220,20.392800559263100,19.114067364845700,3.0752563785490700,19.114067364845700,14.284232535631800,19.12255873195580,13.678399097430000,19.12255873195580,8.326365436840970
4.2547646004340000,8.4906495717199,4.254174922162470,23.121080384545000,4.254174922162470,10.548850370519800,4.254174922162470,20.899481506564600,19.360317011038800,3.379859461721200,19.368808378148900,14.487911016506800,19.360317011038800,14.134417666489800,19.368808378148900,8.47949586924171
4.4955498946441500,8.726024657384530,4.500424568355500,23.8801014200313,4.508915935465610,10.904001502166100,4.500424568355500,21.658502542050900,19.615058024341900,3.4825561754152400,19.615058024341900,14.59055056531710,19.615058024341900,14.186623496593400,19.615058024341900,8.53164453446152
4.751077145642670,8.93227972630195,4.746674214548540,24.538140688336700,4.746674214548540,11.20854742045450,4.738182847438440,22.165011994701100,19.861307670535000,3.68617749140644,19.869799037645100,14.895210813373000,19.869799037645100,14.592265511830200,19.869799037645100,8.634341248155570
