"i" "era" "col" "X" "Y" "mutType"
14 "late" "red" 3.25 12.7139274696719 "NNRTI"
15 "early" "blue" 3.5 7.63819643733095 "PI"
15 "early" "green" 3.5 21.4497935514041 "3TC/FTC"
15 "early" "orange" 3.5 9.6854176748263 "NRTI"
15 "early" "red" 3.5 18.1679432829078 "NNRTI"
15 "late" "blue" 3.5 3.02133560193236 "PI"
15 "late" "green" 3.5 13.7254029231105 "3TC/FTC"
15 "late" "orange" 3.5 7.86851759150056 "NRTI"
15 "late" "red" 3.5 13.0690214364345 "NNRTI"
16 "early" "blue" 3.75 7.69832211803305 "PI"
16 "early" "green" 3.75 22.1583237033 "3TC/FTC"
16 "early" "orange" 3.75 9.9900779228822 "NRTI"
16 "early" "red" 3.75 19.1288706878722 "NNRTI"
16 "late" "blue" 3.75 3.07359859691972 "PI"
16 "late" "green" 3.75 14.0301203360501 "3TC/FTC"
16 "late" "orange" 3.75 8.07213890749176 "NRTI"
16 "late" "red" 3.75 13.3737960142579 "NNRTI"
17 "early" "blue" 4 8.22588981706841 "PI"
17 "early" "green" 4 22.7153812044244 "3TC/FTC"
17 "early" "orange" 4 10.1936420739896 "NRTI"
17 "early" "red" 4 20.3928005592631 "NNRTI"
17 "late" "blue" 4 3.07525637854907 "PI"
17 "late" "green" 4 14.2842325356318 "3TC/FTC"
17 "late" "orange" 4 8.32636543684097 "NRTI"
17 "late" "red" 4 13.67839909743 "NNRTI"
18 "early" "blue" 4.25 8.4906495717199 "PI"
18 "early" "green" 4.25 23.121080384545 "3TC/FTC"
18 "early" "orange" 4.25 10.5488503705198 "NRTI"
18 "early" "red" 4.25 20.8994815065646 "NNRTI"
18 "late" "blue" 4.25 3.3798594617212 "PI"
18 "late" "green" 4.25 14.4879110165068 "3TC/FTC"
18 "late" "orange" 4.25 8.47949586924171 "NRTI"
18 "late" "red" 4.25 14.1344176664898 "NNRTI"
19 "early" "blue" 4.5 8.72602465738453 "PI"
19 "early" "green" 4.5 23.8801014200313 "3TC/FTC"
