"Reg" "n" "drugtype" "count" "regCats"
"AZT+DDI" 62 "PI" 0 "NRTI"
"D4T+DDI" 33 "PI" 0 "NRTI"
"D4T+DDI+EFV" 23 "PI" 0 "NNRTI-NRTI"
"D4T+DDI+EFV+NFV" 14 "PI" 0 "NNRTI-NRTI-PI"
"D4T+DDI+NFV" 24 "PI" 20 "NRTI-PI"
"DDI" 12 "PI" 0 "NRTI"
"EFV+FTC+TDF" 37 "PI" 0 "M184VI-NNRTI-NRTI"
"EFV+LPV" 20 "PI" 1 "NNRTI-PI"
"NVP" 44 "PI" 0 "NNRTI"
"3TC" 13 "M184VI" 13 "M184VI"
"3TC+ABC+AZT" 69 "M184VI" 67 "M184VI-NRTI"
"3TC+ABC+AZT+EFV" 19 "M184VI" 2 "M184VI-NNRTI-NRTI"
"3TC+ABC+EFV" 16 "M184VI" 2 "M184VI-NNRTI-NRTI"
"3TC+ABC+LPV" 11 "M184VI" 10 "M184VI-NRTI-PI"
"3TC+ABC+TDF" 32 "M184VI" 32 "M184VI-NRTI"
"3TC+AZT" 174 "M184VI" 171 "M184VI-NRTI"
"3TC+AZT+EFV" 122 "M184VI" 25 "M184VI-NNRTI-NRTI"
"3TC+AZT+EFV+NFV" 11 "M184VI" 4 "M184VI-NNRTI-NRTI-PI"
"3TC+AZT+IDV" 50 "M184VI" 41 "M184VI-NRTI-PI"
"3TC+AZT+LPV" 13 "M184VI" 12 "M184VI-NRTI-PI"
"3TC+AZT+NFV" 86 "M184VI" 81 "M184VI-NRTI-PI"
"3TC+AZT+NVP" 52 "M184VI" 14 "M184VI-NNRTI-NRTI"
"3TC+AZT+SQV" 11 "M184VI" 11 "M184VI-NRTI-PI"
"3TC+D4T" 69 "M184VI" 66 "M184VI-NRTI"
"3TC+D4T+EFV" 132 "M184VI" 29 "M184VI-NNRTI-NRTI"
"3TC+D4T+IDV" 21 "M184VI" 17 "M184VI-NRTI-PI"
"3TC+D4T+LPV" 75 "M184VI" 72 "M184VI-NRTI-PI"
"3TC+D4T+NFV" 43 "M184VI" 40 "M184VI-NRTI-PI"
"3TC+D4T+NVP" 106 "M184VI" 24 "M184VI-NNRTI-NRTI"
"3TC+EFV+TDF" 15 "M184VI" 4 "M184VI-NNRTI-NRTI"
"AZT" 99 "M184VI" 0 "NRTI"
"AZT+DDI" 62 "M184VI" 1 "NRTI"
"D4T+DDI" 33 "M184VI" 0 "NRTI"
"D4T+DDI+EFV" 23 "M184VI" 0 "NNRTI-NRTI"
"D4T+DDI+EFV+NFV" 14 "M184VI" 0 "NNRTI-NRTI-PI"
"D4T+DDI+NFV" 24 "M184VI" 2 "NRTI-PI"
"DDI" 12 "M184VI" 0 "NRTI"
"EFV+FTC+TDF" 37 "M184VI" 0 "M184VI-NNRTI-NRTI"
"EFV+LPV" 20 "M184VI" 0 "NNRTI-PI"
"NVP" 44 "M184VI" 0 "NNRTI"
