Year,point.estimate,X95_conf_low,X95_conf_high,treatmentType
1,0.91026156588427,0.89951227932448,0.922176686317235,3TC
2,0.948147159832169,0.937224023427053,0.957558969947704,3TC
3,0.963567789678108,0.953157707483408,0.973410481451432,3TC
4,0.974710468931167,0.965921675860397,0.982020119462426,3TC
5,0.979434623236479,0.971332253691904,0.987074434577434,3TC
6,0.978933413071048,0.970300009578666,0.98613808814911,3TC
7,0.98089348287149,0.971988432365974,0.988934176418264,3TC
8,0.981264909928472,0.973384847137283,0.988469087595397,3TC
9,0.98036459130132,0.970867065016474,0.988637095079926,3TC
10,0.98445462280173,0.973199704130003,0.991954576641558,3TC
1,0.971224818136274,0.964175465062035,0.977708698884135,NRTI
2,0.966509006406839,0.957683633242436,0.974434513037041,NRTI
3,0.980412105828815,0.973988211617783,0.985503336421745,NRTI
4,0.985261914848085,0.978696449819965,0.990487664745038,NRTI
5,0.992197722428508,0.98665132333601,0.995878997655659,NRTI
6,0.987301569649393,0.982023852006661,0.992844759038232,NRTI
7,0.986067045758609,0.978816250656464,0.99193296567442,NRTI
8,0.993435058546861,0.98933122720119,0.997340236973812,NRTI
9,0.987533186781601,0.980387641248929,0.995583701618129,NRTI
10,0.995391480686081,0.989078154255202,1,NRTI
1,0.930395290400246,0.921217576291059,0.94037153263093,NNRTI
2,0.953112757202505,0.943457994314275,0.960846168196698,NNRTI
3,0.964875485598071,0.956471307733124,0.972785099479125,NNRTI
4,0.966108308280506,0.954825219352209,0.975293038631827,NNRTI
5,0.976305191881048,0.968378134977464,0.984531817237878,NNRTI
6,0.972557092362316,0.964307179165281,0.981316429639153,NNRTI
7,0.979385896920086,0.972370298381949,0.98699117072214,NNRTI
8,0.972402540234873,0.95785755509883,0.980936608410543,NNRTI
9,0.98051873797457,0.969619088723549,0.988651814855766,NNRTI
10,0.986084802677443,0.976836216813025,0.993692375867081,NNRTI
1,0.980519435547164,0.974786869105336,0.985922287749773,PI
2,0.981504647974667,0.97444107518814,0.987128879383058,PI
3,0.984222146650312,0.978535570773692,0.989510416960075,PI
4,0.993547286320074,0.987955899408424,0.99680102429506,PI
5,0.993015768520539,0.987010519988889,0.997272255425992,PI
6,0.993038285437994,0.988141813373313,0.996989630778646,PI
7,0.993241978233281,0.988385555565912,0.997457495233897,PI
8,0.994489131999612,0.990556229552814,0.998206580926948,PI
9,0.997950664615229,0.994760522810164,1,PI
10,0.996606912743581,0.991831471506997,1,PI
